"Description: ","Standardised Precipitation Index"
"Station: ","São Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, spi
2021-06, 0.669846746140393
2021-07, 0.0831577290530946
2021-08, -0.0372023727685514
2021-09, -0.847244590313994
2021-10, -1.05238018699347
2021-11, -1.59917413265816
2021-12, -1.87780243001645
2022-01, -1.62216798172211
2022-02, -1.54348642199107
2022-03, -1.38987238915579
2022-04, 0.0728060851379695
2022-05, 0.131558691853066
2022-06, 0.572569392142751
2022-07, 1.28344907532146
2022-08, 1.40519862088228
2022-09, -99.9
2022-10, -99.9
2022-11, -99.9
2022-12, -99.9
2023-01, -99.9
2023-02, -99.9
2023-03, -99.9
2023-04, -1.46987066274046
2023-05, -1.54854753959783
2023-06, -2.0202162110306
2023-07, -2.58997863947304
2023-08, -2.46215417564219
2023-09, 0.237106813939039
2023-10, 0.328495640702788
2023-11, 1.05525143155884
2023-12, 1.07313166527247
2024-01, 1.08683597316039
2024-02, 1.1899187206258
2024-03, 0.352129998208194
2024-04, 1.18693382426276
