"Description: ","Standardised Precipitation-Evapotranspiration Index"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, spei
2018-12, -0.384732593633955
2019-01, -0.558031511005424
2019-02, -0.456966010085212
2019-03, -0.704209195409906
2019-04, 0.248777749429168
2019-05, 0.768821941508463
2019-06, 0.800652926367892
2019-07, 1.20091154535253
2019-08, 0.735526917009842
2019-09, 0.271951797906709
2019-10, 0.156184519528642
2019-11, -0.553974419403611
2019-12, -0.764295437409594
2020-01, -0.985681074882383
2020-02, -0.854587951183167
2020-03, -1.09127747612214
2020-04, -1.83471594137578
2020-05, -1.96854940447769
2020-06, -1.5296116799728
2020-07, -0.301154882641794
2020-08, -0.680492015533302
2020-09, 0.834550875811448
2020-10, 0.741745991698629
2020-11, 0.449130233170231
2020-12, 0.196375737680662
2021-01, -0.426075126828375
2021-02, -0.45790740388148
2021-03, -0.99225562131244
2021-04, -1.08303553928611
2021-05, -0.701097064388622
2021-06, -0.71547499483695
2021-07, -1.3406405376609
2021-08, -1.189136031763
2021-09, -0.782650210297652
2021-10, -0.597514311895092
2021-11, -0.778498110495463
2021-12, -1.13953593717222
2022-01, -0.236606879262248
2022-02, -0.67575111103394
2022-03, -0.439785071899433
2022-04, 0.0455965561726263
2022-05, 0.343020664626281
2022-06, 0.453567597270064
2022-07, -0.0169618528402924
2022-08, 0.550266340675256
2022-09, -1.08133689815602
2022-10, -1.41330852976033
2022-11, -1.63305785033904
2022-12, -1.70464731134165
2023-01, -1.94310634035168
2023-02, -1.88777135610296
2023-03, -1.55939590340535
2023-04, -1.28001916532657
2023-05, -1.428821053946
2023-06, -0.863470037361411
2023-07, 0.118353821152528
2023-08, -0.520784123592071
2023-09, 1.66001802728138
2023-10, 1.32694681905554
2023-11, 1.75202310108484
2023-12, 1.57477651529947
2024-01, 1.60497281438069
2024-02, 1.72390965117442
2024-03, 1.24780450486942
2024-04, 1.77338380807917
2024-05, 2.15013741805571
2024-06, 2.0823453874227
2024-07, -99.9
2024-08, -99.9
2024-09, -99.9
2024-10, -99.9
2024-11, -99.9
2024-12, -99.9
